work_order_id,cluster
WO-0001290,-1
WO-0001291,-1
WO-0001292,0
WO-0001293,-1
WO-0001294,0
WO-0001295,-1
WO-0001296,-1
WO-0001297,-1
WO-0001298,-1
WO-0001299,-1
WO-0001300,-1
WO-0001301,-1
WO-0001302,-1
WO-0001303,-1
WO-0001304,-1
WO-0001305,-1
WO-0001306,-1
WO-0001307,0
WO-0001308,-1
WO-0001309,-1
WO-0001310,-1
WO-0001311,-1
WO-0001312,-1
WO-0001313,-1
WO-0001314,0
WO-0001315,-1
WO-0001316,-1
WO-0001317,-1
WO-0001318,-1
WO-0001319,-1
WO-0001320,-1
WO-0001321,-1
WO-0001322,-1
WO-0001323,-1
WO-0001324,-1
WO-0001325,0
WO-0001326,-1
WO-0001327,-1
WO-0001328,-1
WO-0001329,-1
WO-0001330,-1
WO-0001331,-1
WO-0001332,-1
WO-0001333,-1
WO-0001334,-1
WO-0001335,-1
WO-0001336,0
WO-0001337,-1
WO-0001338,-1
WO-0001339,-1
WO-0001340,-1
WO-0001341,-1
WO-0001342,-1
WO-0001343,-1
WO-0001344,-1
WO-0001345,-1
WO-0001346,-1
WO-0001347,-1
WO-0001348,-1
WO-0001349,-1
WO-0001350,-1
WO-0001351,0
WO-0001352,-1
WO-0001353,-1
WO-0001354,-1
WO-0001355,-1
WO-0001356,-1
WO-0001357,-1
WO-0001358,-1
WO-0001359,-1
WO-0001360,-1
WO-0001361,-1
WO-0001362,-1
WO-0001363,-1
WO-0001364,-1
WO-0001365,-1
WO-0001366,-1
WO-0001367,-1
WO-0001368,-1
WO-0001369,-1
WO-0001370,-1
WO-0001371,-1
WO-0001372,-1
WO-0001373,-1
WO-0001374,-1
WO-0001375,-1
WO-0001376,-1
WO-0001377,-1
WO-0001378,-1
WO-0001379,-1
WO-0001380,-1
WO-0001381,-1
WO-0001382,-1
WO-0001383,0
WO-0001384,-1
WO-0001385,-1
WO-0001386,-1
WO-0001387,0
WO-0001388,-1
WO-0001389,-1
WO-0001390,-1
WO-0001391,0
WO-0001392,-1
WO-0001393,-1
WO-0001394,-1
WO-0001395,0
WO-0001396,-1
WO-0001397,-1
WO-0001398,-1
WO-0001399,-1
WO-0001400,-1
WO-0001401,-1
WO-0001402,-1
WO-0001403,-1
WO-0001404,-1
WO-0001405,-1
WO-0001406,-1
WO-0001407,-1
WO-0001408,-1
